Learning Rate,Regularization,Dropout,Num Layers,Train Loss,Validation Loss,Test Loss
0.0001,1e-06,0.1,4,0.23797495377063752,0.218802753527453,0.22036544978618622
0.0001,1e-06,0.1,7,0.23535831458568574,0.2233795220874677,0.2249581590294838
0.0001,1e-06,0.1,9,0.23395807735919952,0.22777994897714846,0.22956201583147048
0.0001,1e-06,0.3,4,0.23858583810329437,0.22763474295093755,0.22945803850889207
0.0001,1e-06,0.3,7,0.23577345860004426,0.22806038285136981,0.22984470129013063
0.0001,1e-06,0.3,9,0.23609373919963836,0.22695021445204497,0.22854385823011397
0.0001,1e-06,0.5,4,0.21961767444610597,0.1884707791410434,0.1892404779791832
0.0001,1e-06,0.5,7,0.23860411558151245,0.22845825666834593,0.23023662716150284
0.0001,1e-06,0.5,9,0.23442670221328735,0.22712709085576854,0.22884322255849837
0.0001,1e-05,0.1,4,0.2134902224779129,0.18629217014950553,0.18703553974628448
0.0001,1e-05,0.1,7,0.2348771825313568,0.2279120224296667,0.22964362800121307
0.0001,1e-05,0.1,9,0.23529321076869963,0.22762872876635024,0.22946972250938416
0.0001,1e-05,0.3,4,0.2319414006471634,0.2027830717859754,0.2037682682275772
0.0001,1e-05,0.3,7,0.234173401594162,0.22605729027158894,0.22771467715501786
0.0001,1e-05,0.3,9,0.23380007228851318,0.22661340834608504,0.22823080271482468
0.0001,1e-05,0.5,4,0.22538441433906556,0.1926244812406552,0.19349958896636962
0.0001,1e-05,0.5,7,0.23630904426574706,0.22868376619117275,0.23052066266536714
0.0001,1e-05,0.5,9,0.23540730295181275,0.22709325212202255,0.22871871888637543
0.0001,0.0001,0.1,4,0.23790541620254516,0.22211165878043812,0.22369747161865233
0.0001,0.0001,0.1,7,0.23953445808887483,0.22771316358617916,0.2293287768959999
0.0001,0.0001,0.1,9,0.25758152964115144,0.2552322198630898,0.25704470872879026
0.0001,0.0001,0.3,4,0.21782195699214935,0.18804777940367437,0.18885136544704437
0.0001,0.0001,0.3,7,0.23509073131084443,0.21381362968948997,0.21539911329746247
0.0001,0.0001,0.3,9,0.23561368310451508,0.2292203842454655,0.23110693395137788
0.0001,0.0001,0.5,4,0.23845717651844026,0.22790053344456254,0.2297509491443634
0.0001,0.0001,0.5,7,0.2390276355981827,0.22920708785391158,0.23094965368509293
0.0001,0.0001,0.5,9,0.24164300751686096,0.22967543229935275,0.2313559725880623
0.001,1e-06,0.1,4,0.16955693249702453,0.16685249756096274,0.16715122312307357
