Learning Rate,Regularization,Dropout,Num Layers,Train Loss,Validation Loss,Test Loss
0.005,1e-06,0.5,4,0.17563864319324493,0.16107003485700885,0.16133666783571243
0.005,1e-06,0.5,7,0.1842805907011032,0.17629351775357677,0.1763858199119568
0.005,1e-06,0.5,9,0.18562567565441132,0.17128785666386792,0.17163044065237046
0.005,1e-05,0.1,4,0.1674321976661682,0.16527536824630323,0.1655302882194519
0.005,1e-05,0.1,7,0.1834984777212143,0.16405606250854055,0.16429406106472016
0.005,1e-05,0.1,9,0.19226061911582948,0.16607120538213452,0.16634292900562286
0.005,1e-05,0.3,4,0.16832828900814056,0.15985528327477205,0.1601073056459427
0.005,1e-05,0.3,7,0.18225757603645323,0.1651513759687448,0.16540665328502654
0.005,1e-05,0.3,9,0.19151658227443696,0.16618728732607166,0.16643549650907516
0.005,1e-05,0.5,4,0.1777689856529236,0.17361301221665304,0.1740490674972534
0.005,1e-05,0.5,7,0.18732957825660707,0.17148641606045376,0.17193367779254914
0.005,1e-05,0.5,9,0.19606362907886504,0.2399613857269287,0.24201783686876296
0.005,0.0001,0.1,4,0.17648706078529358,0.16365973214814616,0.1639517977833748
0.005,0.0001,0.1,7,0.19451666753292085,0.1702837209413006,0.17052896767854692
0.005,0.0001,0.1,9,0.20168131349086763,0.17089032016362354,0.17121162563562392
0.005,0.0001,0.3,4,0.17300565056800843,0.162477226583821,0.16275318413972856
0.005,0.0001,0.3,7,0.1869072291612625,0.1765029223481561,0.17673415690660477
0.005,0.0001,0.3,9,0.19777710778713226,0.17769414926790128,0.17813564389944075
0.005,0.0001,0.5,4,0.17877894604206085,0.16440571664245265,0.1646610125899315
0.005,0.0001,0.5,7,0.18432995021343232,0.1654854356103642,0.1656784802675247
0.005,0.0001,0.5,9,0.19796730613708496,0.19839381867912925,0.19922791719436644
